id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
16,2008,Belfast,08/04/08,Kenya,Scotland,Scotland,Batting,normal,,Scotland,,9 wickets,,Belfast,,,
17,2008,Belfast,08/05/08,Bermuda,Canada,Canada,Batting,normal,,Canada,,8 wickets,,Belfast,,,
18,2008,Belfast,08/05/08,Ireland,Netherlands,Netherlands,Fielding,no res,,,,,,Belfast,,,
19,2008,King City (NW),10/10/08,Sri Lanka,Zimbabwe,Zimbabwe,Batting,normal,,Sri Lanka,,5 wickets,,King City (NW),,,
20,2008,King City (NW),10/10/08,Canada,Pakistan,Pakistan,Fielding,normal,,Pakistan,35 runs,,,King City (NW),,,
21,2008,King City (NW),10/11/08,Canada,Zimbabwe,Zimbabwe,Batting,tie,,,,,,King City (NW),,,
22,2008,King City (NW),10/11/08,Pakistan,Sri Lanka,Sri Lanka,Batting,normal,,Pakistan,,3 wickets,,King City (NW),,,
23,2008,King City (NW),10/12/08,Pakistan,Zimbabwe,Zimbabwe,Fielding,normal,,Pakistan,,7 wickets,,King City (NW),,,
24,2008,King City (NW),10/12/08,Canada,Sri Lanka,Sri Lanka,Fielding,normal,,Sri Lanka,15 runs,,,King City (NW),,,
25,2008,King City (NW),10/13/08,Canada,Zimbabwe,Canada,Batting,normal,,Zimbabwe,109 runs,,,King City (NW),,,
26,2008,King City (NW),10/13/08,Pakistan,Sri Lanka,Pakistan,Fielding,normal,,Sri Lanka,,5 wickets,,King City (NW),,,
27,2008,Johannesburg,11/05/08,South Africa,Bangladesh,South Africa,Fielding,normal,,South Africa,12 runs,,,Imperial Wanderer Stadium,,,
28,2008,Auckland,12/26/08,New Zealand,West Indies,New Zealand,Batting,tie,,,,,,eden park,,,
29,2008,Hamilton,12/28/08,New Zealand,West Indies,New Zealand,Batting,normal,,New Zealand,36 runs,,,Hamilton,,,
30,2009,Melbourne,01/11/09,Australia,South Africa,South Africa,Batting,normal,,Australia,52 runs,,,Melbourne Cricket Ground ,,,
31,2009,Brisbane,01/13/09,Australia,South Africa,South Africa,Fielding,normal,,Australia,,6 wickets,,Brisbane,,,
32,2009,Colombo (RPS),02/10/09,Sri Lanka,India,India,Fielding,normal,,India,,3 wickets,,Colombo (RPS),,,
33,2009,Sydney,02/15/09,Australia,New Zealand,New Zealand,Batting,normal,,Australia,1 run,,,Sydney,,,
34,2009,Christchurch,02/25/09,New Zealand,India,India,Fielding,normal,,New Zealand,,7 wickets,,Hagley Oval ,,,
35,2009,Wellington,02/27/09,New Zealand,India,India,Fielding,normal,,New Zealand,,5 wickets,,Wellington,,,
36,2009,Port of Spain,03/15/09,West Indies,England,England,Batting,normal,,West Indies,,6 wickets,,Port of Spain,,,
37,2009,Johannesburg,03/27/09,South Africa,Australia,Australia,Batting,normal,,South Africa,,4 wickets,,Imperial Wanderer Stadium,,,
38,2009,Centurion,03/29/09,South Africa,Australia,Australia,Fielding,tie,,South Africa,17 runs,,,Centurion,,,
39,2009,Dubai (DSC),05/07/09,Australia,Pakistan,Pakistan,Fielding,normal,,Pakistan,,7 wickets,,Dubai (DSC),,,
40,2009,Lord's,06/05/09,England,Netherlands,Netherlands,Batting,normal,,Netherlands,,4 wickets,,Lord's,,,
41,2009,The Oval,06/06/09,New Zealand,Scotland,New Zealand,Batting,normal,,New Zealand,,7 wickets,,The Oval,,,
42,2009,The Oval,06/06/09,Australia,West Indies,West Indies,Batting,normal,,West Indies,,7 wickets,,The Oval,,,
43,2009,Nottingham,06/06/09,Bangladesh,India,India,Fielding,normal,,India,25 runs,,,Nottingham,,,
44,2009,The Oval,06/07/09,Scotland,South Africa,South Africa,Fielding,normal,,South Africa,130 runs,,,The Oval,,,
45,2009,The Oval,06/07/09,England,Pakistan,England,Batting,normal,,England,48 runs,,,The Oval,,,
46,2009,Nottingham,06/08/09,Bangladesh,Ireland,Ireland,Fielding,normal,,Ireland,,6 wickets,,Nottingham,,,
47,2009,Nottingham,06/08/09,Australia,Sri Lanka,Sri Lanka,Batting,normal,,Sri Lanka,,6 wickets,,Nottingham,,,
48,2009,Lord's,06/09/09,Netherlands,Pakistan,Pakistan,Batting,normal,,Pakistan,82 runs,,,Lord's,,,
49,2009,Lord's,06/09/09,New Zealand,South Africa,South Africa,Fielding,normal,,South Africa,1 run,,,Lord's,,,
50,2009,Nottingham,06/10/09,Sri Lanka,West Indies,Sri Lanka,Batting,normal,,Sri Lanka,15 runs,,,Nottingham,,,
51,2009,Nottingham,06/10/09,India,Ireland,India,Batting,normal,,India,,8 wickets,,Nottingham,,,
52,2009,Nottingham,06/11/09,Ireland,New Zealand,Ireland,Fielding,normal,,New Zealand,83 runs,,,Nottingham,,,
53,2009,Nottingham,06/11/09,England,South Africa,England,Fielding,normal,,South Africa,,7 wickets,,Nottingham,,,
54,2009,Lord's,06/12/09,Pakistan,Sri Lanka,Pakistan,Fielding,normal,,Sri Lanka,19 runs,,,Lord's,,,
55,2009,Lord's,06/12/09,India,West Indies,India,Batting,normal,,West Indies,,7 wickets,,Lord's,,,
56,2009,The Oval,06/13/09,South Africa,West Indies,West Indies,Batting,normal,,South Africa,20 runs,,,The Oval,,,
57,2009,The Oval,06/13/09,New Zealand,Pakistan,New Zealand,Fielding,normal,,Pakistan,,6 wickets,,The Oval,,,
58,2009,Lord's,06/14/09,Ireland,Sri Lanka,Ireland,Fielding,normal,,Sri Lanka,9 runs,,,Lord's,,,
59,2009,Lord's,06/14/09,England,India,England,Fielding,normal,,England,3 runs,,,Lord's,,,
60,2009,The Oval,06/15/09,Ireland,Pakistan,Pakistan,Fielding,normal,,Pakistan,39 runs,,,The Oval,,,
61,2009,The Oval,06/15/09,England,West Indies,West Indies,Fielding,normal,,West Indies,,5 wickets,,The Oval,,,
62,2009,Nottingham,06/16/09,New Zealand,Sri Lanka,Sri Lanka,Fielding,normal,,Sri Lanka,48 runs,,,Nottingham,,,
63,2009,Nottingham,06/16/09,India,South Africa,South Africa,Fielding,normal,,South Africa,12 runs,,,Nottingham,,,
64,2009,Nottingham,06/18/09,Pakistan,South Africa,Pakistan,Batting,normal,,Pakistan,7 runs,,,Nottingham,,,
65,2009,The Oval,06/19/09,Sri Lanka,West Indies,Sri Lanka,Batting,normal,,Sri Lanka,57 runs,,,The Oval,,,
66,2009,Lord's,06/21/09,Pakistan,Sri Lanka,Pakistan,Fielding,normal,,Pakistan,,8 wickets,,Lord's,,,
67,2009,Basseterre,08/02/09,West Indies,Bangladesh,West Indies,Batting,normal,,West Indies,,5 wickets,,Basseterre,,,
68,2009,Colombo (RPS),08/12/09,Sri Lanka,Pakistan,Pakistan,Batting,normal,,Pakistan,52 runs,,,Colombo (RPS),,,
69,2009,Manchester,08/30/09,England,Australia,Australia,Fielding,no res,,,,,,Old Trafford ,,,
70,2009,Colombo (RPS),09/02/09,Sri Lanka,New Zealand,Sri Lanka,Fielding,normal,,New Zealand,3 runs,,,Colombo (RPS),,,
71,2009,Colombo (RPS),09/04/09,Sri Lanka,New Zealand,Sri Lanka,Fielding,normal,,New Zealand,22 runs,,,Colombo (RPS),,,
72,2009,Dubai (DSC),11/12/09,New Zealand,Pakistan,New Zealand,Batting,normal,,Pakistan,49 runs,,,Dubai (DSC),,,
73,2009,Dubai (DSC),11/13/09,New Zealand,Pakistan,Pakistan,Batting,normal,,Pakistan,7 runs,,,Dubai (DSC),,,
74,2009,Johannesburg,11/13/09,South Africa,England,England,Fielding,normal,,England,1 run,,,Imperial Wanderer Stadium,,,
75,2009,Centurion,11/15/09,South Africa,England,South Africa,Fielding,normal,,South Africa,84 runs,,,Centurion,,,
76,2009,Nagpur,12/09/09,India,Sri Lanka,Sri Lanka,Batting,normal,,Sri Lanka,29 runs,,,Nagpur,,,
77,2009,Mohali,12/12/09,India,Sri Lanka,India,Fielding,normal,,India,,6 wickets,,Mohali,,,
78,2010,Colombo (PSS),02/01/10,Afghanistan,Ireland,Ireland,Fielding,normal,,Ireland,,5 wickets,,Colombo (PSS),,,
79,2010,Nairobi (Gym),02/01/10,Kenya,Scotland,Kenya,Batting,normal,,Kenya,,10 wickets,,Nairobi (Gym),,,
80,2010,Colombo (SSC),02/03/10,Canada,Ireland,Ireland,Fielding,normal,,Canada,4 runs,,,Colombo (SSC),,,
81,2010,Hamilton,02/03/10,New Zealand,Bangladesh,New Zealand,Batting,normal,,New Zealand,,10 wickets,,Hamilton,,,
82,2010,Colombo (SSC),02/04/10,Afghanistan,Canada,Afghanistan,Fielding,normal,,Afghanistan,,5 wickets,,Colombo (SSC),,,
83,2010,Nairobi (Gym),02/04/10,Kenya,Scotland,Kenya,Batting,normal,,Kenya,,10 wickets,,Nairobi (Gym),,,
84,2010,Melbourne,02/05/10,Australia,Pakistan,Australia,Fielding,normal,,Australia,2 runs,,,Melbourne Cricket Ground ,,,
85,2010,Dubai (DSC),02/09/10,Afghanistan,Ireland,Afghanistan,Fielding,normal,,Afghanistan,13 runs,,,Dubai (DSC),,,
86,2010,Dubai (DSC),02/09/10,Canada,Netherlands,Netherlands,Batting,normal,,Netherlands,,6 wickets,,Dubai (DSC),,,
87,2010,Abu Dhabi,02/10/10,Afghanistan,Scotland,Afghanistan,Fielding,normal,,Afghanistan,14 runs,,,Abu Dhabi,,,
88,2010,Dubai (DSC),02/10/10,Canada,Kenya,Kenya,Fielding,normal,,Kenya,,9 wickets,,Dubai (DSC),,,
89,2010,Abu Dhabi,02/11/10,Kenya,Netherlands,Netherlands,Batting,normal,,Netherlands,,7 wickets,,Abu Dhabi,,,
90,2010,Dubai (DSC),02/11/10,Ireland,Scotland,Ireland,Fielding,normal,,Ireland,37 runs,,,Dubai (DSC),,,
91,2010,Dubai (DSC),02/12/10,Afghanistan,Netherlands,Netherlands,Batting,normal,,Netherlands,,4 wickets,,Dubai (DSC),,,
92,2010,Dubai (DSC),02/13/10,Ireland,Netherlands,Ireland,Batting,normal,,Ireland,65 runs,,,Dubai (DSC),,,
93,2010,Dubai (DSC),02/13/10,Afghanistan,Ireland,Afghanistan,Fielding,normal,,Afghanistan,,8 wickets,,Dubai (DSC),,,
94,2010,Dubai (DSC),02/19/10,England,Pakistan,England,Batting,normal,,England,,7 wickets,,Dubai (DSC),,,
95,2010,Dubai (DSC),02/20/10,England,Pakistan,Pakistan,Fielding,normal,,Pakistan,,4 wickets,,Dubai (DSC),,,
96,2010,Hobart,02/21/10,Australia,West Indies,West Indies,Batting,normal,,Australia,38 runs,,,Hobart,,,
97,2010,Sydney,02/23/10,Australia,West Indies,West Indies,Batting,normal,,Australia,,8 wickets,,Sydney,,,
98,2010,Wellington,02/26/10,New Zealand,Australia,New Zealand,Batting,normal,,Australia,,6 wickets,,Wellington,,,
99,2010,Christchurch,02/28/10,New Zealand,Australia,Australia,Batting,tie,,,,,,Hagley Oval ,,,
100,2010,Port of Spain,02/28/10,West Indies,Zimbabwe,Zimbabwe,Fielding,normal,,Zimbabwe,26 runs,,,Port of Spain,,,
101,2010,Providence,04/30/10,New Zealand,Sri Lanka,New Zealand,Batting,normal,,New Zealand,,2 wickets,,Providence,,,
102,2010,Providence,04/30/10,West Indies,Ireland,West Indies,Batting,normal,,West Indies,70 runs,,,Providence,,,
103,2010,Gros Islet,05/01/10,Afghanistan,India,India,Fielding,normal,,India,,7 wickets,,Gros Islet,,,
104,2010,Gros Islet,05/01/10,Bangladesh,Pakistan,Pakistan,Batting,normal,,Pakistan,21 runs,,,Gros Islet,,,
105,2010,Gros Islet,05/02/10,India,South Africa,South Africa,Batting,normal,,India,14 runs,,,Gros Islet,,,
106,2010,Gros Islet,05/02/10,Australia,Pakistan,Pakistan,Fielding,normal,,Australia,34 runs,,,Gros Islet,,,
107,2010,Providence,05/03/10,Sri Lanka,Zimbabwe,Zimbabwe,Batting,normal,,Sri Lanka,14 runs,,,Providence,,,
108,2010,Providence,05/03/10,West Indies,England,England,Batting,normal,,West Indies,,8 wickets,,Providence,,,
109,2010,Providence,05/04/10,New Zealand,Zimbabwe,New Zealand,Batting,normal,,New Zealand,7 runs,,,Providence,,,
110,2010,Providence,05/04/10,England,Ireland,Ireland,Fielding,no res,,,,,,Providence,,,
111,2010,Bridgetown,05/05/10,Australia,Bangladesh,Australia,Fielding,normal,,Australia,27 runs,,,Bridgetown,,,
112,2010,Bridgetown,05/05/10,Afghanistan,South Africa,South Africa,Batting,normal,,South Africa,59 runs,,,Bridgetown,,,
113,2010,Bridgetown,05/06/10,England,Pakistan,England,Fielding,normal,,England,,6 wickets,,Bridgetown,,,
114,2010,Bridgetown,05/06/10,New Zealand,South Africa,South Africa,Fielding,normal,,South Africa,13 runs,,,Bridgetown,,,
115,2010,Bridgetown,05/07/10,Australia,India,Australia,Batting,normal,,Australia,49 runs,,,Bridgetown,,,
116,2010,Bridgetown,05/07/10,West Indies,Sri Lanka,Sri Lanka,Fielding,normal,,Sri Lanka,57 runs,,,Bridgetown,,,
117,2010,Bridgetown,05/08/10,New Zealand,Pakistan,New Zealand,Fielding,normal,,New Zealand,1 run,,,Bridgetown,,,
118,2010,Bridgetown,05/08/10,England,South Africa,England,Fielding,normal,,England,39 runs,,,Bridgetown,,,
119,2010,Bridgetown,05/09/10,West Indies,India,West Indies,Batting,normal,,West Indies,14 runs,,,Bridgetown,,,
120,2010,Bridgetown,05/09/10,Australia,Sri Lanka,Australia,Fielding,normal,,Australia,81 runs,,,Bridgetown,,,
121,2010,Gros Islet,05/10/10,Pakistan,South Africa,Pakistan,Fielding,normal,,Pakistan,11 runs,,,Gros Islet,,,
122,2010,Gros Islet,05/10/10,England,New Zealand,England,Batting,normal,,England,,3 wickets,,Gros Islet,,,
123,2010,Gros Islet,05/11/10,India,Sri Lanka,Sri Lanka,Fielding,normal,,Sri Lanka,,5 wickets,,Gros Islet,,,
124,2010,Gros Islet,05/11/10,West Indies,Australia,Australia,Fielding,normal,,Australia,,6 wickets,,Gros Islet,,,
125,2010,Gros Islet,05/13/10,England,Sri Lanka,England,Batting,normal,,England,,7 wickets,,Gros Islet,,,
126,2010,Gros Islet,05/14/10,Australia,Pakistan,Australia,Fielding,normal,,Australia,,3 wickets,,Gros Islet,,,
127,2010,Bridgetown,05/16/10,Australia,England,Australia,Fielding,normal,,England,,7 wickets,,Bridgetown,,,
128,2010,North Sound,05/19/10,West Indies,South Africa,South Africa,Batting,normal,,South Africa,13 runs,,,North Sound,,,
129,2010,North Sound,05/20/10,West Indies,South Africa,West Indies,Fielding,normal,,South Africa,1 run,,,North Sound,,,
130,2010,Lauderhill,05/22/10,New Zealand,Sri Lanka,Sri Lanka,Fielding,normal,,New Zealand,28 runs,,,Lauderhill,,,
131,2010,Lauderhill,05/23/10,New Zealand,Sri Lanka,New Zealand,Batting,normal,,Sri Lanka,,7 wickets,,Lauderhill,,,
132,2010,Harare,06/12/10,Zimbabwe,India,Zimbabwe,Fielding,normal,,India,,6 wickets,,Harare,,,
133,2010,Harare,06/13/10,Zimbabwe,India,Zimbabwe,Fielding,normal,,India,,7 wickets,,Harare,,,
134,2010,Birmingham,07/05/10,Australia,Pakistan,Australia,Fielding,normal,,Pakistan,23 runs,,,Birmingham,,,
135,2010,Birmingham,07/06/10,Australia,Pakistan,Australia,Batting,normal,,Pakistan,11 runs,,,Birmingham,,,
136,2010,Cardiff,09/05/10,England,Pakistan,England,Fielding,normal,,England,,5 wickets,,Cardiff,,,
137,2010,Cardiff,09/07/10,England,Pakistan,Pakistan,Fielding,normal,,England,,6 wickets,,Cardiff,,,
138,2010,Bloemfontein,10/08/10,South Africa,Zimbabwe,Zimbabwe,Fielding,normal,,South Africa,,7 wickets,,Bloemfontein,,,
139,2010,Kimberley,10/10/10,South Africa,Zimbabwe,Zimbabwe,Batting,normal,,South Africa,8 runs,,,Kimberley,,,
140,2010,Abu Dhabi,10/26/10,Pakistan,South Africa,South Africa,Fielding,normal,,South Africa,,6 wickets,,Abu Dhabi,,,
141,2010,Abu Dhabi,10/27/10,Pakistan,South Africa,South Africa,Fielding,normal,,South Africa,,6 wickets,,Abu Dhabi,,,
142,2010,Perth,10/31/10,Australia,Sri Lanka,Sri Lanka,Batting,normal,,Sri Lanka,,7 wickets,,Perth,,,
143,2010,Auckland,12/26/10,New Zealand,Pakistan,Pakistan,Batting,normal,,New Zealand,,5 wickets,,Seddon Park,,,
144,2010,Hamilton,12/28/10,New Zealand,Pakistan,New Zealand,Fielding,normal,,New Zealand,39 runs,,,Hamilton,,,
145,2010,Christchurch,12/30/10,New Zealand,Pakistan,Pakistan,Fielding,normal,,Pakistan,103 runs,,,Hagley Oval ,,,
146,2011,Durban,01/09/11,South Africa,India,India,Fielding,normal,,India,21 runs,,,Durban,,,
147,2011,Adelaide,01/12/11,Australia,England,England,Batting,normal,,England,,1 wicket,,Adelaide,,,
148,2011,Melbourne,01/14/11,Australia,England,Australia,Fielding,normal,,Australia,4 runs,,,Melbourne Cricket Ground ,,,
149,2011,Gros Islet,04/21/11,West Indies,Pakistan,West Indies,Fielding,normal,,West Indies,7 runs,,,Gros Islet,,,
150,2011,Port of Spain,06/04/11,West Indies,India,India,Batting,normal,,India,16 runs,,,Port of Spain,,,
151,2011,Bristol,06/25/11,England,Sri Lanka,Sri Lanka,Fielding,normal,,Sri Lanka,,9 wickets,,Bristol,,,
152,2011,Pallekele,08/06/11,Sri Lanka,Australia,Sri Lanka,Fielding,normal,,Sri Lanka,35 runs,,,Pallekele,,,
153,2011,Pallekele,08/08/11,Sri Lanka,Australia,Sri Lanka,Batting,normal,,Sri Lanka,8 runs,,,Pallekele,,,
154,2011,Manchester,08/31/11,England,India,England,Fielding,normal,,England,,6 wickets,,Old Trafford ,,,
155,2011,Harare,09/16/11,Zimbabwe,Pakistan,Pakistan,Fielding,normal,,Pakistan,85 runs,,,Harare,,,
156,2011,Harare,09/18/11,Zimbabwe,Pakistan,Pakistan,Batting,normal,,Pakistan,5 runs,,,Harare,,,
157,2011,The Oval,09/23/11,England,West Indies,England,Fielding,normal,,England,,10 wickets,,The Oval,,,
158,2011,The Oval,09/25/11,England,West Indies,West Indies,Batting,normal,,West Indies,25 runs,,,The Oval,,,
159,2011,Dhaka,10/11/11,Bangladesh,West Indies,Bangladesh,Fielding,normal,,Bangladesh,,3 wickets,,Dhaka,,,
160,2011,Cape Town,10/13/11,South Africa,Australia,Australia,Fielding,normal,,Australia,,5 wickets,,Cape Town,,,
161,2011,Harare,10/15/11,Zimbabwe,New Zealand,Zimbabwe,Fielding,normal,,New Zealand,,10 wickets,,Harare,,,
162,2011,Johannesburg,10/16/11,South Africa,Australia,South Africa,Fielding,normal,,South Africa,,3 wickets,,Imperial Wanderer Stadium,,,
163,2011,Harare,10/17/11,Zimbabwe,New Zealand,Zimbabwe,Fielding,normal,,New Zealand,34 runs,,,Harare,,,
164,2011,Kolkata,10/29/11,India,England,India,Fielding,normal,,England,,6 wickets,,Kolkata,,,
165,2011,Abu Dhabi,11/25/11,Pakistan,Sri Lanka,Sri Lanka,Fielding,normal,,Pakistan,,5 wickets,,Abu Dhabi,,,
166,2011,Dhaka,11/29/11,Bangladesh,Pakistan,Pakistan,Batting,normal,,Pakistan,50 runs,,,Dhaka,,,
167,2012,Sydney,02/01/12,Australia,India,India,Batting,normal,,Australia,31 runs,,,Sydney,,,
168,2012,Melbourne,02/03/12,Australia,India,India,Fielding,normal,,India,,8 wickets,,Melbourne Cricket Ground ,,,
169,2012,Auckland,02/11/12,New Zealand,Zimbabwe,Zimbabwe,Fielding,normal,,New Zealand,,7 wickets,,Seddon Park,,,
170,2012,Hamilton,02/14/12,New Zealand,Zimbabwe,New Zealand,Fielding,normal,,New Zealand,,5 wickets,,Hamilton,,,
171,2012,Wellington,02/17/12,New Zealand,South Africa,South Africa,Fielding,normal,,New Zealand,,6 wickets,,Wellington,,,
172,2012,Hamilton,02/19/12,New Zealand,South Africa,New Zealand,Fielding,normal,,South Africa,,8 wickets,,Hamilton,,,
173,2012,Auckland,02/22/12,New Zealand,South Africa,South Africa,Batting,normal,,South Africa,3 runs,,,eden park,,,
174,2012,Mombasa,02/22/12,Kenya,Ireland,Ireland,Fielding,normal,,Ireland,,6 wickets,,Mombasa,,,
175,2012,Mombasa,02/23/12,Kenya,Ireland,Ireland,Fielding,normal,,Ireland,,8 wickets,,Mombasa,,,
176,2012,Dubai (DSC),02/23/12,England,Pakistan,Pakistan,Fielding,normal,,Pakistan,8 runs,,,Dubai (DSC),,,
177,2012,Mombasa,02/24/12,Kenya,Ireland,Ireland,Batting,normal,,Ireland,2 runs,,,Mombasa,,,
178,2012,Dubai (DSC),02/25/12,England,Pakistan,England,Batting,normal,,England,38 runs,,,Dubai (DSC),,,
179,2012,Abu Dhabi,02/27/12,England,Pakistan,England,Fielding,normal,,England,5 runs,,,Abu Dhabi,,,
180,2012,Dubai (DSC),03/13/12,Canada,Netherlands,Netherlands,Fielding,normal,,Netherlands,42 runs,,,Dubai (DSC),,,
181,2012,ICCA Dubai,03/13/12,Kenya,Scotland,Scotland,Batting,normal,,Scotland,14 runs,,,ICCA Dubai,,,
182,2012,Dubai (DSC),03/14/12,Ireland,Kenya,Kenya,Fielding,normal,,Ireland,,10 wickets,,Dubai (DSC),,,
183,2012,Dubai (DSC),03/14/12,Afghanistan,Netherlands,Netherlands,Fielding,normal,,Afghanistan,,4 wickets,,Dubai (DSC),,,
184,2012,ICCA Dubai,03/18/12,Afghanistan,Canada,Afghanistan,Fielding,normal,,Afghanistan,41 runs,,,ICCA Dubai,,,
185,2012,Dubai (DSC),03/18/12,Ireland,Scotland,Ireland,Fielding,normal,,Ireland,17 runs,,,Dubai (DSC),,,
186,2012,Dubai (DSC),03/22/12,Canada,Ireland,Ireland,Fielding,normal,,Ireland,,10 wickets,,Dubai (DSC),,,
187,2012,ICCA Dubai,03/22/12,Netherlands,Scotland,Netherlands,Batting,normal,,Netherlands,,3 wickets,,ICCA Dubai,,,
188,2012,Dubai (DSC),03/23/12,Ireland,Netherlands,Ireland,Batting,normal,,Ireland,,7 wickets,,Dubai (DSC),,,
189,2012,Dubai (DSC),03/23/12,Canada,Scotland,Scotland,Fielding,normal,,Scotland,,4 wickets,,Dubai (DSC),,,
190,2012,Dubai (DSC),03/24/12,Afghanistan,Ireland,Ireland,Fielding,normal,,Ireland,,5 wickets,,Dubai (DSC),,,
191,2012,Gros Islet,03/27/12,West Indies,Australia,Australia,Fielding,normal,,Australia,,8 wickets,,Gros Islet,,,
192,2012,Johannesburg,03/30/12,South Africa,India,South Africa,Fielding,normal,,South Africa,11 runs,,,Imperial Wanderer Stadium,,,
193,2012,Bridgetown,03/30/12,West Indies,Australia,Australia,Fielding,normal,,West Indies,14 runs,,,Bridgetown,,,
194,2012,Hambantota,06/01/12,Sri Lanka,Pakistan,Pakistan,Fielding,normal,,Sri Lanka,37 runs,,,Hambantota,,,
195,2012,Hambantota,06/03/12,Sri Lanka,Pakistan,Pakistan,Batting,normal,,Pakistan,23 runs,,,Hambantota,,,
196,2012,Nottingham,06/24/12,England,West Indies,West Indies,Fielding,normal,,England,,7 wickets,,Nottingham,,,
197,2012,Lauderhill,06/30/12,New Zealand,West Indies,West Indies,Fielding,normal,,West Indies,56 runs,,,Lauderhill,,,
198,2012,Lauderhill,07/01/12,New Zealand,West Indies,New Zealand,Fielding,normal,,West Indies,61 runs,,,Lauderhill,,,
199,2012,Belfast,07/18/12,Ireland,Bangladesh,Ireland,Fielding,normal,,Bangladesh,71 runs,,,Belfast,,,
200,2012,Belfast,07/20/12,Ireland,Bangladesh,Bangladesh,Fielding,normal,,Bangladesh,1 run,,,Belfast,,,
201,2012,Belfast,07/21/12,Ireland,Bangladesh,Bangladesh,Fielding,normal,,Bangladesh,,2 wickets,,Belfast,,,
202,2012,The Hague,07/24/12,Bangladesh,Scotland,Scotland,Batting,normal,,Scotland,34 runs,,,The Hague,,,
203,2012,The Hague,07/25/12,Netherlands,Bangladesh,Bangladesh,Fielding,normal,,Bangladesh,,8 wickets,,The Hague,,,
204,2012,The Hague,07/26/12,Netherlands,Bangladesh,Bangladesh,Batting,normal,,Netherlands,,1 wicket,,The Hague,,,
205,2012,Pallekele,08/07/12,Sri Lanka,India,India,Fielding,normal,,India,39 runs,,,Pallekele,,,
206,2012,Dubai (DSC),09/05/12,Australia,Pakistan,Pakistan,Fielding,normal,,Pakistan,,7 wickets,,Dubai (DSC),,,
207,2012,Dubai (DSC),09/07/12,Australia,Pakistan,Pakistan,Batting,tie,,,,,,Dubai (DSC),,,
208,2012,Chester-le-Street,09/08/12,England,South Africa,South Africa,Fielding,normal,,South Africa,,7 wickets,,Chester-le-Street,,,
209,2012,Dubai (DSC),09/10/12,Australia,Pakistan,Pakistan,Fielding,normal,,Australia,94 runs,,,Dubai (DSC),,,
210,2012,Manchester,09/10/12,England,South Africa,South Africa,Batting,no res,,,,,,Old Trafford ,,,
211,2012,Chennai,09/11/12,India,New Zealand,New Zealand,Batting,normal,,New Zealand,1 run,,,Chennai,,,
212,2012,Birmingham,09/12/12,England,South Africa,South Africa,Fielding,normal,,England,28 runs,,,Birmingham,,,
213,2012,Hambantota,09/18/12,Sri Lanka,Zimbabwe,Zimbabwe,Fielding,normal,,Sri Lanka,82 runs,,,Hambantota,,,
214,2012,Colombo (RPS),09/19/12,Australia,Ireland,Ireland,Batting,normal,,Australia,,7 wickets,,Colombo (RPS),,,
215,2012,Colombo (RPS),09/19/12,Afghanistan,India,India,Batting,normal,,India,23 runs,,,Colombo (RPS),,,
216,2012,Hambantota,09/20/12,South Africa,Zimbabwe,Zimbabwe,Fielding,normal,,South Africa,,10 wickets,,Hambantota,,,
217,2012,Pallekele,09/21/12,Bangladesh,New Zealand,New Zealand,Fielding,normal,,New Zealand,59 runs,,,Pallekele,,,
